,timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience
14504,2021-04-28 14:51:24,25-34,"Marketing, Advertising & PR",Senior Media Manager,Agency side,77000,0.0,USD,,,United States,Georgia,Atlanta,5-7 years,5-7 years,College degree,Woman,White,77000.0,5
14505,2021-04-28 14:51:31,25-34,Business or Consulting,Customer Success Manager,,80000,20000.0,USD,,,United States of America,Minnesota,St. Paul,2 - 4 years,2 - 4 years,Master's degree,Woman,White,100000.0,2
14506,2021-04-28 14:51:32,25-34,Computing or Tech,Head of Content Marketing,,114000,12540.0,USD,,,United States,Texas,Austin,11 - 20 years,5-7 years,Master's degree,Woman,White,126540.0,5
14507,2021-04-28 14:51:35,25-34,Education (Higher Education),Senior Data Analyst,,78000,0.0,USD,,,United States,Missouri,St. Louis,5-7 years,2 - 4 years,Master's degree,Woman,White,78000.0,2
14508,2021-04-28 14:51:37,35-44,Government and Public Administration,Deputy Registrar,Reviewing and approving death certificates and issuing birth and death certificates but also handling most incoming financial transactions for my local health district,42000,0.0,USD,,,United States,Washington,Spokane,8 - 10 years,8 - 10 years,Some college,Woman,White,42000.0,8
14509,2021-04-28 14:51:40,25-34,Law,Litigation Project Manager,,137000,15000.0,USD,,,United States,Illinois,Chicago,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,152000.0,5
14510,2021-04-28 14:51:48,18-24,Media & Digital,Software Developer,,68000,4000.0,USD,,,United States,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,College degree,Non-binary,White,72000.0,2
14511,2021-04-28 14:51:49,55-64,Education (Primary/Secondary),Teacher,,42000,500.0,USD,,,US,Illinois,Nauvoo,11 - 20 years,11 - 20 years,College degree,Woman,White,42500.0,11
14513,2021-04-28 14:52:04,25-34,Law,Conflicts Researcher,Professional staff for a law firm,66000,0.0,USD,,,United States,California,Los Angeles,2 - 4 years,2 - 4 years,College degree,Woman,White,66000.0,2
14514,2021-04-28 14:52:07,45-54,Education (Higher Education),Administrative Assistant,,36953,0.0,USD,,,USA,Pennsylvania,Pittsburgh,11 - 20 years,5-7 years,College degree,Woman,White,36953.0,5
14515,2021-04-28 14:52:08,25-34,Media & Digital,Podcast Editor,"Podcast / radio production titles usually have multiple possible meanings. I work in post-production, mixing, and sound design.",75000,2000.0,USD,,,United States,New York,"My job is remote for everyone at my company, but I live in Brooklyn",8 - 10 years,5-7 years,College degree,Woman,White,77000.0,5
14516,2021-04-28 14:52:09,35-44,Computing or Tech,Senior Software Engineer,,152000,6000.0,USD,,,United States,Washington,Remote,11 - 20 years,11 - 20 years,Some college,Man,White,158000.0,11
14517,2021-04-28 14:52:10,35-44,Health care,Clinical liaison,For SNFs,85000,28000.0,USD,,,USA,Virginia,Virginia Beach,11 - 20 years,5-7 years,College degree,Woman,White,113000.0,5
14519,2021-04-28 14:52:21,25-34,Computing or Tech,Senior developer,,130000,5000.0,USD,,,United States,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,White,135000.0,5
14520,2021-04-28 14:52:43,35-44,Computing or Tech,Web Developer,in-house developer for a hospital system,80000,0.0,USD,,,US,Louisiana,New Orleans,11 - 20 years,11 - 20 years,Some college,Man,White,80000.0,11
14521,2021-04-28 14:52:51,35-44,Computing or Tech,"IT advisor, manager",,69241,0.0,EUR,,,Hungary,,Budapest,11 - 20 years,8 - 10 years,PhD,Man,White,84029.62596191537,8
14522,2021-04-28 14:52:54,25-34,"Marketing, Advertising & PR",Senior Account Executive,,61000,1000.0,USD,,,USA,New York,NYC,2 - 4 years,2 - 4 years,College degree,Woman,White,62000.0,2
14523,2021-04-28 14:52:57,25-34,"Accounting, Banking & Finance",Senior Financial Analyst,,850000,0.0,USD,,,USA,Illinois,Chicago,5-7 years,2 - 4 years,College degree,Man,White,850000.0,2
14524,2021-04-28 14:53:02,25-34,Law,Research Specialist,Law librarian,92000,3000.0,USD,,,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,Asian or Asian American,95000.0,8
14525,2021-04-28 14:53:11,35-44,"Marketing, Advertising & PR",Senior Associate Brand Manager,,75000,0.0,USD,,,US,Oregon,Tigard,11 - 20 years,2 - 4 years,College degree,Woman,Asian or Asian American,75000.0,2
14526,2021-04-28 14:53:16,25-34,Computing or Tech,Content Designer 2,I create content plans/write UX text for some of my large company's consumer products.,134500,16000.0,USD,,Additional comp - $11k annual bonus (amt depends on yearly impact/salary) + the rest in merit increases + stock,USA,Washington,Seattle (company is in Redmond),2 - 4 years,2 - 4 years,College degree,Woman,White,150500.0,2
14527,2021-04-28 14:53:18,25-34,Health care,Associate Director,"Operations, Informatics & Analytics",137500,10000.0,USD,,,USA,Illinois,Rosemont,11 - 20 years,8 - 10 years,Master's degree,Woman,White,147500.0,8
14528,2021-04-28 14:53:25,35-44,Computing or Tech,"Director, Product Management",,172000,42000.0,USD,,,united states,New York,New York City,11 - 20 years,5-7 years,College degree,Woman,Black or African American,214000.0,5
14529,2021-04-28 14:54:06,45-54,Government and Public Administration,Divisional Librarian,,74000,0.0,USD,,,USA,Indiana,Lafayette,21 - 30 years,21 - 30 years,Master's degree,Man,White,74000.0,21
14531,2021-04-28 14:54:24,35-44,Computing or Tech,CISO,,207000,0.0,EUR,,,France,,remote,21 - 30 years,21 - 30 years,Master's degree,Man,White,251211.45815508848,21
14532,2021-04-28 14:54:24,25-34,Education (Higher Education),Associate Vice President of Advancement Administration & Chief Annual Giving Officer,,145000,0.0,USD,,,United States,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree,Man,White,145000.0,8
14533,2021-04-28 14:54:26,25-34,Computing or Tech,Manager,,150000,15000.0,USD,,,United States,,Remote,8 - 10 years,5-7 years,College degree,Woman,White,165000.0,5
14534,2021-04-28 14:54:31,35-44,"Accounting, Banking & Finance",Trust Officer,,95000,2500.0,USD,,,USA,Georgia,Atlanta,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American,97500.0,11
14535,2021-04-28 14:54:57,35-44,Computing or Tech,Corporate Counsel,Corporate & Securities,220000,0.0,USD,,"I also received stock options worth ~$60K when I joined, vesting over 4 years.  They have doubled twice in value in the past 14 months.  They are not liquid yet.",USA,California,San Francisco,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,220000.0,5
14536,2021-04-28 14:55:03,25-34,Government and Public Administration,Financial Management Analyst,,105000,0.0,USD,,,United States,District of Columbia,"Washington, DC",8 - 10 years,5-7 years,Master's degree,Woman,White,105000.0,5
14537,2021-04-28 14:55:11,35-44,Education (Higher Education),Professor,"Tenured, at a community college",54000,1000.0,USD,,,United States,Massachusetts,Worcester,11 - 20 years,11 - 20 years,Master's degree,Non-binary,"Asian or Asian American, White",55000.0,11
14538,2021-04-28 14:55:51,25-34,Health care,Associate Project Manager,,66500,0.0,USD,,,United States,New York,Manhasset,2 - 4 years,2 - 4 years,Master's degree,Woman,Black or African American,66500.0,2
14539,2021-04-28 14:55:56,35-44,Nonprofits,Assistant Director,,75000,2500.0,USD,,,United States,Connecticut,Hartford,11 - 20 years,11 - 20 years,College degree,Woman,White,77500.0,11
14540,2021-04-28 14:56:31,25-34,Health care,Clinical manager,LCSW who supervises therapists and care managers in a community mental health clinic,67000,0.0,USD,,,United States,Indiana,Jeffersonville,8 - 10 years,5-7 years,Master's degree,Woman,White,67000.0,5
14541,2021-04-28 14:56:34,25-34,"Marketing, Advertising & PR",Affiliate account manager,( manager at an affiliate agency),53500,4000.0,CAD,,,Canada,,Montreal,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,46734.47907311304,2
14542,2021-04-28 14:56:41,25-34,Health care,Registered Nurse,2 jobs,200000,0.0,USD,,,USA,California,Palo Alto,2 - 4 years,5-7 years,College degree,Woman,Asian or Asian American,200000.0,5
14543,2021-04-28 14:56:58,35-44,Education (Primary/Secondary),Assistant Principal,,112000,0.0,USD,,,United States,California,Redwood City,8 - 10 years,2 - 4 years,Master's degree,Woman,Black or African American,112000.0,2
14544,2021-04-28 14:57:00,25-34,Education (Higher Education),Library Associate,academic library staff at a university,34000,0.0,USD,,,US,Arizona,Tucson,5-7 years,2 - 4 years,College degree,Woman,White,34000.0,2
14546,2021-04-28 14:57:08,25-34,Government and Public Administration,Social Media Lead,Government Contractor,88000,0.0,USD,,,United States,Maryland,DC Suburb,5-7 years,5-7 years,Master's degree,Woman,White,88000.0,5
14547,2021-04-28 14:57:15,25-34,Engineering or Manufacturing,Product Development Engineer,,85000,2500.0,USD,,,United States,California,Los Angeles,8 - 10 years,2 - 4 years,College degree,Woman,,87500.0,2
14549,2021-04-28 14:57:34,35-44,Computing or Tech,Senior Software Engineer,,150000,25000.0,USD,,,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,College degree,Man,White,175000.0,11
14550,2021-04-28 14:57:53,25-34,Nonprofits,Data Scientist,Data scientist working on cancer immunotherapy research for a scientific research nonprofit,97000,0.0,USD,,,United States,Washington,Seattle,5-7 years,2 - 4 years,PhD,Woman,White,97000.0,2
14551,2021-04-28 14:57:55,25-34,"Marketing, Advertising & PR",Copywriter,,47000,0.0,USD,,,United States,Delaware,Smyrna,8 - 10 years,5-7 years,College degree,Woman,"Asian or Asian American, White",47000.0,5
14552,2021-04-28 14:58:43,25-34,"Accounting, Banking & Finance",Accounting Supervisor,,110000,15000.0,USD,,,United States,Ohio,Enon,8 - 10 years,8 - 10 years,Master's degree,Woman,White,125000.0,8
14553,2021-04-28 14:58:52,25-34,Computing or Tech,Product Manager,,140000,0.0,USD,,,United States,Colorado,Denver,8 - 10 years,5-7 years,Master's degree,Woman,White,140000.0,5
14555,2021-04-28 14:59:02,25-34,Law,Associate Attorney,,72500,0.0,USD,,I am a very junior associate with one year of experience. I do get a bonus but it's not a regular amount so I didn't put it in here.,United States,Colorado,Denver,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Middle Eastern or Northern African,72500.0,2
14556,2021-04-28 14:59:08,35-44,Education (Higher Education),Academic Advisor,,56000,0.0,USD,,,USA,Washington,Seattle,8 - 10 years,5-7 years,PhD,Woman,White,56000.0,5
14557,2021-04-28 14:59:22,25-34,"Accounting, Banking & Finance",Administrative Assistant,,57000,0.0,USD,,,U.S.,Virginia,Arlington,2 - 4 years,2 - 4 years,College degree,Non-binary,"Asian or Asian American, White",57000.0,2
14559,2021-04-28 14:59:36,25-34,Law,Attorney,,107000,2000.0,USD,,,united states,California,Sacramento,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,109000.0,2
14560,2021-04-28 14:59:37,35-44,Education (Higher Education),Academic Advisor,,72000,0.0,USD,,,U.S.,Utah,Provo,11 - 20 years,2 - 4 years,Master's degree,Woman,White,72000.0,2
14561,2021-04-28 14:59:39,25-34,Nonprofits,Program Director,,70000,0.0,USD,,,us,Massachusetts,Cambridge,8 - 10 years,8 - 10 years,College degree,Woman,White,70000.0,8
14563,2021-04-28 14:59:42,18-24,Computing or Tech,Software Developer 1,,60000,500.0,USD,,,USA,Utah,Logan,2 - 4 years,2 - 4 years,College degree,Woman,White,60500.0,2
14565,2021-04-28 14:59:51,45-54,Health care,Critical care RN,,86000,0.0,USD,,,united states,Kentucky,Owensboro,21 - 30 years,11 - 20 years,College degree,Woman,White,86000.0,11
14566,2021-04-28 14:59:57,35-44,Health care,Government Regulatory Communications,,65000,2400.0,USD,,,US,Oregon,Eugene,11 - 20 years,2 - 4 years,College degree,Woman,White,67400.0,2
14568,2021-04-28 15:00:00,25-34,Computing or Tech,Machine Learning Engineer,,130000,10000.0,USD,,,United States,"Utah, Vermont",Remote,2 - 4 years,2 - 4 years,Master's degree,Woman,White,140000.0,2
14569,2021-04-28 15:00:25,35-44,"Accounting, Banking & Finance",Senior Software Engineer,,210000,40000.0,USD,,,USA,New York,New York city,21 - 30 years,21 - 30 years,Master's degree,Man,White,250000.0,21
14570,2021-04-28 15:00:27,25-34,Law,Partner,,300000,100000.0,USD,,,US,North Carolina,Charlotte,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,400000.0,8
14571,2021-04-28 15:00:28,35-44,Nonprofits,Candidate Research Associate,research political candidates for potential endorsement by advocacy group,72000,1000.0,USD,,"I'm a contractor, monthly rate is $6k",USA,New Jersey,North Plainfield,21 - 30 years,2 - 4 years,College degree,Woman,White,73000.0,2
14572,2021-04-28 15:00:51,25-34,Computing or Tech,software engineer,,123000,0.0,USD,,,US,Washington,seattle,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,123000.0,2
14573,2021-04-28 15:00:54,35-44,Government and Public Administration,Supervising Staff Attorney,,97500,0.0,USD,,,USA,Washington,Olympia,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,97500.0,11
14575,2021-04-28 15:01:10,25-34,Education (Higher Education),Payroll Administrator,,63500,0.0,USD,,,United States,Massachusetts,Boston,8 - 10 years,5-7 years,College degree,Woman,White,63500.0,5
14578,2021-04-28 15:01:39,25-34,Law,"attorney, legal aid",,70087,0.0,USD,,,United States of America,California,Oakland,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,70087.0,5
14579,2021-04-28 15:01:43,35-44,Computing or Tech,Scrum Master,,100000,0.0,USD,,,USA,Oregon,Portland,11 - 20 years,5-7 years,Some college,Man,White,100000.0,5
14580,2021-04-28 15:01:57,18-24,Engineering or Manufacturing,Engineer 2,Structural engineering,86000,0.0,USD,,,USA,Washington,Seattle,2 - 4 years,2 - 4 years,Master's degree,Woman,White,86000.0,2
14584,2021-04-28 15:02:24,35-44,"Accounting, Banking & Finance",Owner,,125000,350000.0,USD,,I draw a salary and then pay myself distributions that account for my additional compensation,USA,Florida,Neptune Beach,11 - 20 years,8 - 10 years,College degree,Woman,White,475000.0,8
14585,2021-04-28 15:02:38,35-44,Computing or Tech,Senior Software Engineer,,172000,60000.0,USD,,,USA,New York,remote,5-7 years,5-7 years,College degree,Man,White,232000.0,5
14586,2021-04-28 15:03:05,25-34,Nonprofits,Finance Associate,,61000,750.0,USD,,,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Man,White,61750.0,5
14587,2021-04-28 15:03:11,25-34,Computing or Tech,Senior Software Engineer,,165000,0.0,USD,,,United States,California,San Francisco,11 - 20 years,8 - 10 years,Some college,Woman,"Hispanic, Latino, or Spanish origin, White",165000.0,8
14588,2021-04-28 15:03:11,25-34,Law,In house counsel,Small public company,190000,30000.0,USD,,,United States,North Carolina,Charlotte,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,220000.0,8
14590,2021-04-28 15:03:28,25-34,"Accounting, Banking & Finance",Recruiter,,79285,5950.0,USD,,,United States,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American,85235.0,2
14591,2021-04-28 15:03:38,35-44,Education (Higher Education),Project Manager,,90000,0.0,USD,,,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White,90000.0,11
14593,2021-04-28 15:03:49,35-44,Media & Digital,"Counsel, Business & Legal Affairs",Production lawyer,148750,14875.0,USD,,bonus is not guaranteed,US,,Suburb city in Metro NY area,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,163625.0,2
14595,2021-04-28 15:03:55,25-34,"Accounting, Banking & Finance",Associate Director,Compliance,125000,20000.0,USD,,,United States,New Jersey,Newark,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,145000.0,5
14596,2021-04-28 15:04:02,18-24,Government and Public Administration,Project Support,,35054,0.0,GBP,,,England,,London,2 - 4 years,2 - 4 years,Master's degree,Woman,Another option not listed here or prefer not to answer,48916.08464796299,2
14598,2021-04-28 15:04:11,25-34,Engineering or Manufacturing,production worker,,26000,0.0,USD,,,usa,Utah,Salt Lake,5-7 years,2 - 4 years,High School,Woman,White,26000.0,2
14599,2021-04-28 15:04:11,25-34,"Accounting, Banking & Finance",Customer Representative,,58000,0.0,USD,,,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer,58000.0,5
14600,2021-04-28 15:04:12,25-34,Government and Public Administration,Analyst,,61500,0.0,USD,,,USA,California,Los Angeles,8 - 10 years,2 - 4 years,College degree,Woman,Asian or Asian American,61500.0,2
14601,2021-04-28 15:04:16,25-34,Business or Consulting,Senior Consultant,Data Scientist,125000,15000.0,USD,,,United States,Texas,Dallas,2 - 4 years,2 - 4 years,Master's degree,Woman,White,140000.0,2
